id,capitolo_ministeriale,numero_quiz_ministeriale,numero_domanda_ministeriale,id_paragrafo,numero_quiz,numero_domanda,testo_domanda_it,risposta_domanda,figura,parte,testo_domanda_fr,testo_domanda_de,audio_it,audio_fr,audio_de
17,1,4,6,1,1.2,6,"L'attraversamento pedonale è una parte della strada, separata dalla carreggiata mediante una striscia gialla",F,,,"Le passage pour piétons est une partie de la chaussée, séparée latéralement de la chaussée à l'aide d'une ligne jaune","Der Fußgängerübergang ist ein Straßenteil, welcher durch einen gelben Streifen von der Fahrbahn getrennt ist",it_IT_01003_10031.mp3,fr_FR_01003_10031.mp3,de_DE_01003_10031.mp3
18,1,4,7,1,1.2,7,L'attraversamento pedonale è una parte della carreggiata vietata al transito dei veicoli,F,,,Le passage pour piétons est une partie de la chaussée interdite au passage des véhicules,"Der Fußgängerübergang ist ein Fahrbahnteil, auf welchem der Fahrzeugverkehr verboten ist",it_IT_01003_10032.mp3,fr_FR_01003_10032.mp3,de_DE_01003_10032.mp3
19,1,4,8,1,1.2,8,L'attraversamento pedonale non fa parte della carreggiata,F,,,Le passage pour piétons ne fait pas partie de la chaussée,Der Fußgängerübergang ist kein Fahrbahnteil,it_IT_01003_10033.mp3,fr_FR_01003_10033.mp3,de_DE_01003_10033.mp3
20,1,4,9,1,1.2,9,L'attraversamento pedonale è posto al di fuori della carreggiata ed è destinato al transito dei pedoni,F,,,Le passage pour piétons se trouve en dehors de la chaussée et est réservé à l'engagement des piétons,Der Fußgängerübergang befindet sich außerhalb der Fahrbahn und ist für den Durchgang der Fußgänger bestimmt,it_IT_01003_10034.mp3,fr_FR_01003_10034.mp3,de_DE_01003_10034.mp3
21,1,4,10,1,1.2,10,L’attraversamento pedonale è una parte della carreggiata in cui è consentita la fermata ma non la sosta dei veicoli,F,,,Le passage pour piétons est une partie de la chaussée où l'arrêt est autorisé mais le stationnement interdit,"Der Fußgängerübergang ist ein Fahrbahnteil, auf welchem das Halten, jedoch nicht das Parken von Fahrzeugen erlaubt ist",it_IT_01003_10035.mp3,fr_FR_01003_10035.mp3,de_DE_01003_10035.mp3
22,1,19,2,1,1.3,1,"La banchina è parte della strada, posta al di fuori della carreggiata",V,,,"L'accotement est une partie de la route, en dehors de la chaussée",Das Bankett ist ein Straßenteil außerhalb der Fahrbahn,it_IT_01018_10196.mp3,fr_FR_01018_10196.mp3,de_DE_01018_10196.mp3
23,1,19,3,1,1.3,2,"La banchina è parte della strada, situata oltre la linea bianca continua di margine della carreggiata",V,,,"L'accotement est une partie de la route, qui se trouve de l'autre côté de la ligne blanche continue en marge de la chaussée",Das Bankett ist ein Straßenteil außerhalb der durchgehenden weißen Fahrbahnbegrenzung,it_IT_01018_10197.mp3,fr_FR_01018_10197.mp3,de_DE_01018_10197.mp3
24,1,19,1,1,1.3,3,"La banchina non consente, di norma, il transito ai veicoli",V,,,L'accotement n'autorise généralement pas le passage de véhicules,Auf dem Bankett ist der Verkehr von Fahrzeugen in der Regel nicht gestattet,it_IT_01018_10195.mp3,fr_FR_01018_10195.mp3,de_DE_01018_10195.mp3
25,1,19,4,1,1.3,4,"La banchina è riservata ai veicoli lenti, nelle strade in salita",F,,,"L'accotement est réservé aux véhicules lents, sur les routes qui montent",Das Bankett ist auf ansteigenden Straßen den langsamen Fahrzeugen vorbehalten,it_IT_01018_10198.mp3,fr_FR_01018_10198.mp3,de_DE_01018_10198.mp3
26,1,19,5,1,1.3,5,Sulle banchine la sosta dei veicoli è consentita per un massimo di 5 ore,F,,,Sur les accotements le stationnement des véhicules est autorisé pour un maximum de 5 heures,Auf dem Bankett ist das Parken von Fahrzeugen für maximal 5 Stunden erlaubt,it_IT_01018_10199.mp3,fr_FR_01018_10199.mp3,de_DE_01018_10199.mp3
27,1,19,6,1,1.3,6,La banchina divide la carreggiata in due corsie,F,,,L'accotement divise la chaussée en deux voies,Das Bankett unterteilt die Fahrbahn in zwei Fahrspuren,it_IT_01018_10200.mp3,fr_FR_01018_10200.mp3,de_DE_01018_10200.mp3
28,1,19,7,1,1.3,7,"La banchina è parte della carreggiata, destinata alla sosta dei veicoli",F,,,"L'accotement est une partie de la chaussée, destinée au stationnement des véhicules","Das Bankett ist ein Fahrbahnteil, der für das Parken von Fahrzeugen bestimmt ist",it_IT_01018_10201.mp3,fr_FR_01018_10201.mp3,de_DE_01018_10201.mp3
29,1,14,6,1,1.4,1,La carreggiata è la parte della strada destinata normalmente alla circolazione dei veicoli,V,,,La chaussée est une partie de la route généralement destinée à la circulation des véhicules,"Die Fahrbahn ist der Straßenteil, der in der Regel für den Verkehr von Fahrzeugen bestimmt ist",it_IT_01013_10149.mp3,fr_FR_01013_10149.mp3,de_DE_01013_10149.mp3
30,1,14,3,1,1.4,2,La carreggiata può essere suddivisa in corsie,V,,,La chaussée peut être divisée en deux voies,Die Fahrbahn kann in Fahrspuren unterteilt sein,it_IT_01013_10146.mp3,fr_FR_01013_10146.mp3,de_DE_01013_10146.mp3
31,1,14,2,1,1.4,3,La carreggiata può essere a doppio senso di circolazione,V,,,La chaussée peut être à double sens de circulation,Die Fahrbahn kann mit Gegenverkehr sein,it_IT_01013_10145.mp3,fr_FR_01013_10145.mp3,de_DE_01013_10145.mp3
32,1,14,1,1,1.4,4,La carreggiata può essere a senso unico di circolazione,V,,,La chaussée peut être à sens unique de circulation,Die Fahrbahn kann mit Einbahnverkehr sein,it_IT_01013_10144.mp3,fr_FR_01013_10144.mp3,de_DE_01013_10144.mp3
33,1,14,5,1,1.4,5,La carreggiata non comprende i marciapiedi,V,,,La chaussée n'inclut pas les trottoirs,Die Fahrbahn umfasst keine Gehsteige,it_IT_01013_10148.mp3,fr_FR_01013_10148.mp3,de_DE_01013_10148.mp3
34,1,14,4,1,1.4,6,La carreggiata non comprende le piste ciclabili,V,,,La chaussée n'inclut pas les pistes cyclables,Die Fahrbahn umfasst keine Fahrradwege,it_IT_01013_10147.mp3,fr_FR_01013_10147.mp3,de_DE_01013_10147.mp3
35,1,14,7,1,1.4,7,La carreggiata è destinata soltanto alla circolazione di carri a trazione animale,F,,,La chaussée est réservée uniquement à la circulation de chars à traction animale,Die Fahrbahn ist ausschließlich für den Verkehr von Gespannfuhrwerken bestimmt,it_IT_01013_10150.mp3,fr_FR_01013_10150.mp3,de_DE_01013_10150.mp3
36,1,14,8,1,1.4,8,La carreggiata è destinata alla sosta di emergenza,F,,,La chaussée est réservée à l'arrêt d'urgence,Die Fahrbahn ist für das Halten im Notfall bestimmt,it_IT_01013_10151.mp3,fr_FR_01013_10151.mp3,de_DE_01013_10151.mp3
37,1,14,9,1,1.4,9,La carreggiata è destinata alla sosta degli autocarri,F,,,La chaussée est réservée à l'arrêt des poids lourds,Die Fahrbahn ist für das Parken von Lastkraftwagen bestimmt,it_IT_01013_10152.mp3,fr_FR_01013_10152.mp3,de_DE_01013_10152.mp3
38,1,14,10,1,1.4,10,La carreggiata è la traccia lasciata dalle ruote dei veicoli sulle strade innevate,F,,,La chaussée est la trace laissée par les pneus des véhicules sur les routes couvertes de neiges,Die Fahrbahn ist die von den Rädern der Fahrzeuge auf verschneiten Straßen hinterlassene Spur,it_IT_01013_10153.mp3,fr_FR_01013_10153.mp3,de_DE_01013_10153.mp3
39,1,14,11,1,1.4,11,La carreggiata comprende le piazzole di sosta,F,,,La chaussée comprend les aires de stationnement,Die Fahrbahn umfasst die Parkbuchten,it_IT_01013_10154.mp3,fr_FR_01013_10154.mp3,de_DE_01013_10154.mp3
40,1,15,1,1,1.5,1,Fanno parte della carreggiata le corsie di marcia,V,,,Les voies font partie de la chaussée,Zu einer Fahrbahn gehören die Fahrspuren,it_IT_01014_10155.mp3,fr_FR_01014_10155.mp3,de_DE_01014_10155.mp3
41,1,15,4,1,1.5,2,Fanno parte della carreggiata le corsie di sorpasso,V,,,Les voies de dépassement font partie de la chaussée,Zu einer Fahrbahn gehören Überholspuren,it_IT_01014_10158.mp3,fr_FR_01014_10158.mp3,de_DE_01014_10158.mp3
42,1,15,3,1,1.5,3,Fanno parte della carreggiata gli attraversamenti pedonali,V,,,Les passages piétons font partie de la chaussée,Zu einer Fahrbahn gehören die Fußgängerübergänge,it_IT_01014_10157.mp3,fr_FR_01014_10157.mp3,de_DE_01014_10157.mp3
43,1,15,2,1,1.5,4,Fanno parte della carreggiata gli attraversamenti ciclabili,V,,,Les passages cyclables font partie de la chaussée,Zu einer Fahrbahn gehören die Radfahrerüberwege,it_IT_01014_10156.mp3,fr_FR_01014_10156.mp3,de_DE_01014_10156.mp3
44,1,15,5,1,1.5,5,Fanno parte della carreggiata le corsie di emergenza delle autostrade,F,,,Les voie de secours de l'autoroute font partie de la chaussée,Zu einer Fahrbahn gehören die Notspuren der Autobahnen,it_IT_01014_10159.mp3,fr_FR_01014_10159.mp3,de_DE_01014_10159.mp3
45,1,15,6,1,1.5,6,Fanno parte della carreggiata le banchine,F,,,Les accotements font partie de la chaussée,Zu einer Fahrbahn gehören die Bankette,it_IT_01014_10160.mp3,fr_FR_01014_10160.mp3,de_DE_01014_10160.mp3
46,1,15,7,1,1.5,7,Fanno parte della carreggiata i marciapiedi,F,,,Les trottoirs font partie de la chaussée,Zu einer Fahrbahn gehören die Gehsteige,it_IT_01014_10161.mp3,fr_FR_01014_10161.mp3,de_DE_01014_10161.mp3
47,1,1,2,1,1.6,1,La carreggiata del tipo rappresentato è a doppio senso di circolazione,V,550,,Le type de chaussée représentée est à double sens de circulation,Die dargestellte Fahrbahn ist eine Gegenverkehrsfahrbahn,it_IT_01000_10001.mp3,fr_FR_01000_10001.mp3,de_DE_01000_10001.mp3
48,1,1,3,1,1.6,2,"In una carreggiata extraurbana del tipo rappresentato le corsie interne sono, di norma, riservate al sorpasso",V,550,,"Sur une chaussée hors d'agglomération du type représenté, les voies internes sont, généralement, réservées au dépassement",Auf einer Freilandfahrbahn der dargestellten Art sind die internen Fahrspuren in der Regel zum Überholen bestimmt,it_IT_01000_10002.mp3,fr_FR_01000_10002.mp3,de_DE_01000_10002.mp3
49,1,1,1,1,1.6,3,In una carreggiata del tipo rappresentato si può sorpassare anche in curva,V,550,,"Sur le type de chaussée représentée, on peut doubler même dans un virage",Auf einer Fahrbahn der dargestellten Art darf man auch in der Kurve überholen,it_IT_01000_10000.mp3,fr_FR_01000_10000.mp3,de_DE_01000_10000.mp3
50,1,1,4,1,1.6,4,In una carreggiata del tipo rappresentato non si può effettuare l'inversione di marcia,V,550,,"Sur une chaussée du type représenté, on ne peut pas faire d'inversion",Auf einer Fahrbahn der dargestellten Art ist das Wenden nicht erlaubt,it_IT_01000_10003.mp3,fr_FR_01000_10003.mp3,de_DE_01000_10003.mp3
51,1,1,5,1,1.6,5,In una carreggiata extraurbana del tipo rappresentato si può sorpassare indifferentemente sia da destra che da sinistra,F,550,,"Sur une chaussée hors d'agglomération du type représenté, le dépassement peut se faire indifféremment par la droite ou par la gauche",Auf einer Freilandfahrbahn der dargestellten Art darf man sowohl rechts als auch links überholen,it_IT_01000_10004.mp3,fr_FR_01000_10004.mp3,de_DE_01000_10004.mp3
52,1,1,6,1,1.6,6,In una carreggiata extraurbana del tipo rappresentato si può sempre marciare per file parallele,F,550,,"Sur une chaussée hors d'agglomération du type représenté, on peut toujours rouler sur des voies parallèles",Auf einer Freilandfahrbahn der dargestellten Art darf man immer in parallelen Reihen fahren,it_IT_01000_10005.mp3,fr_FR_01000_10005.mp3,de_DE_01000_10005.mp3
53,1,1,7,1,1.6,7,In una carreggiata del tipo rappresentato possiamo iniziare un sorpasso anche se il conducente che sta dietro ha già iniziato la stessa manovra,F,550,,"Sur une chaussée du type représenté, on peut engager un dépassement même si le conducteur qui est derrière nous a déjà commencé la manœuvre de dépassement","Auf einer Fahrbahn der dargestellten Art dürfen wir auch dann zum Überholen ansetzen, wenn der nachfolgende Fahrer bereits mit demselben Manöver begonnen hat",it_IT_01000_10006.mp3,fr_FR_01000_10006.mp3,de_DE_01000_10006.mp3
54,1,16,9,1,1.7,1,La corsia è una parte della carreggiata che consente la circolazione di una sola fila di veicoli,V,,,La voie est une partie de la chaussée qui permet la circulation d'une seule file de véhicules,"Eine Fahrspur ist ein Fahrbahnteil, auf welchem die Fahrzeuge nur einreihig verkehren dürfen",it_IT_01015_10170.mp3,fr_FR_01015_10170.mp3,de_DE_01015_10170.mp3
55,1,16,1,1,1.7,2,La corsia può essere destinata alla normale marcia dei veicoli,V,,,La voie peut être destinée à la circulation ordinaire des véhicules,Eine Fahrspur kann für das normale Fahren der Fahrzeuge bestimmt sein,it_IT_01015_10162.mp3,fr_FR_01015_10162.mp3,de_DE_01015_10162.mp3
56,1,16,2,1,1.7,3,La corsia è limitata da strisce continue o discontinue,V,,,La voie est délimitée par des lignes continues ou discontinues,Eine Fahrspur ist durch durchgehende oder unterbrochene Linien begrenzt,it_IT_01015_10163.mp3,fr_FR_01015_10163.mp3,de_DE_01015_10163.mp3
57,1,16,10,1,1.7,4,"La corsia può essere destinata alle soste di emergenza, in caso di guasto o malessere",V,,,"La voie peut être destinée aux arrêts d'urgence, en cas de panne ou de malaise",Eine Fahrspur kann für das Halten im Notfall bei einem Defekt oder bei Unwohlsein bestimmt sein,it_IT_01015_10171.mp3,fr_FR_01015_10171.mp3,de_DE_01015_10171.mp3
58,1,16,6,1,1.7,5,"La corsia può essere riservata alla circolazione di alcune categorie di veicoli (taxi, autobus, ecc.)",V,,,"La voie peut être réservée à la circulation de certaines catégories de véhicules (taxis, autobus, etc.)","Eine Fahrspur kann bestimmten Fahrzeugarten (Taxis, Autobussen usw.) vorbehalten sein",it_IT_01015_10167.mp3,fr_FR_01015_10167.mp3,de_DE_01015_10167.mp3
59,1,16,5,1,1.7,6,Le corsie possono essere vietate a taluni tipi di veicoli,V,,,Les voies peuvent être interdites à certains types de véhicules,Fahrspuren können für bestimmte Fahrzeugarten gesperrt sein,it_IT_01015_10166.mp3,fr_FR_01015_10166.mp3,de_DE_01015_10166.mp3
60,1,16,3,1,1.7,7,La corsia può essere di accelerazione,V,,,La voie peut être d'accélération,Eine Fahrspur kann eine Beschleunigungsspur sein,it_IT_01015_10164.mp3,fr_FR_01015_10164.mp3,de_DE_01015_10164.mp3
61,1,16,4,1,1.7,8,La corsia può essere di decelerazione,V,,,La voie peut être de décélération,Eine Fahrspur kann eine Verzögerungsspur sein,it_IT_01015_10165.mp3,fr_FR_01015_10165.mp3,de_DE_01015_10165.mp3
62,1,16,12,1,1.7,9,La corsia può essere destinata al rallentamento dei veicoli in uscita dalle autostrade,V,,,La voie peut servir pour permettre aux véhicules de ralentir en sortant de l'autoroute,Eine Fahrspur kann für das Verlangsamen der Fahrzeuge beim Ausfahren aus Autobahnen bestimmt sein,it_IT_01015_10173.mp3,fr_FR_01015_10173.mp3,de_DE_01015_10173.mp3
63,1,16,11,1,1.7,10,La corsia può essere riservata ai veicoli che intendono svoltare (corsia specializzata),V,,,La voie peut être destinée aux véhicules qui doivent tourner en fonction de leur direction (voie de stockage),"Eine Fahrspur kann Fahrzeugen vorbehalten sein, die abbiegen wollen (Abbiegespur)",it_IT_01015_10172.mp3,fr_FR_01015_10172.mp3,de_DE_01015_10172.mp3
64,1,16,7,1,1.7,11,La corsia può essere destinata ad effettuare sorpassi,V,,,La voie peut être destinée au dépassement,Eine Fahrspur kann für das Überholen bestimmt sein,it_IT_01015_10168.mp3,fr_FR_01015_10168.mp3,de_DE_01015_10168.mp3
65,1,16,8,1,1.7,12,L’ente proprietario della strada può imporre che su una corsia i veicoli transitino ad una velocità minima obbligatoria,V,,,"La compagnie propriétaire de la route peut ordonner que, sur une voie, les véhicules circulent à une vitesse minimale obligatoire","Die Körperschaft, der die Straße gehört, kann vorschreiben, dass die Fahrzeuge auf einer Fahrspur eine bestimmte Mindestgeschwindigkeit einhalten müssen",it_IT_01015_10169.mp3,fr_FR_01015_10169.mp3,de_DE_01015_10169.mp3
66,1,16,13,1,1.7,13,La corsia è destinata solo al transito dei pedoni,F,,,La voie est réservée uniquement au passage des piétons,Eine Fahrspur ist nur für den Verkehr von Fußgängern bestimmt,it_IT_01015_10174.mp3,fr_FR_01015_10174.mp3,de_DE_01015_10174.mp3
67,1,16,14,1,1.7,14,La corsia può essere a doppio senso di circolazione,F,,,La voie peut être à double sens de circulation,Eine Fahrspur kann Gegenverkehr aufweisen,it_IT_01015_10175.mp3,fr_FR_01015_10175.mp3,de_DE_01015_10175.mp3
68,1,16,15,1,1.7,15,La corsia è una pista riservata alle vetture da corsa,F,,,La voie est une piste réservée aux voitures de course,Eine Fahrspur ist eine den Rennwagen vorbehaltene Piste,it_IT_01015_10176.mp3,fr_FR_01015_10176.mp3,de_DE_01015_10176.mp3
69,1,16,16,1,1.7,16,La corsia non può mai essere attraversata dai pedoni,F,,,La voie ne peut jamais être traversée par des piétons,Eine Fahrspur darf nie von Fußgängern überquert werden,it_IT_01015_10177.mp3,fr_FR_01015_10177.mp3,de_DE_01015_10177.mp3
70,1,16,17,1,1.7,17,La corsia è formata da due carreggiate,F,,,La voie se compose de deux chaussées,Eine Fahrspur besteht aus zwei Fahrbahnen,it_IT_01015_10178.mp3,fr_FR_01015_10178.mp3,de_DE_01015_10178.mp3
71,1,16,18,1,1.7,18,La corsia è una strada a scorrimento veloce,F,,,La voie est une route à grande vitesse,Eine Fahrspur ist eine Schnellstraße,it_IT_01015_10179.mp3,fr_FR_01015_10179.mp3,de_DE_01015_10179.mp3
72,1,16,19,1,1.7,19,Sulla stessa corsia possono circolare affiancati due motocicli,F,,,Sur la même voie deux motocycles peuvent circuler l'un à côté de l'autre,Auf ein und derselben Fahrspur dürfen zwei Krafträder nebeneinander verkehren,it_IT_01015_10180.mp3,fr_FR_01015_10180.mp3,de_DE_01015_10180.mp3
73,1,16,20,1,1.7,20,Sulla stessa corsia possono circolare affiancati due ciclomotori,F,,,Sur la même voie deux motocycles légers peuvent circuler l'un à côté de l'autre,Auf ein und derselben Fahrspur dürfen zwei Kleinkrafträder nebeneinander verkehren,it_IT_01015_10181.mp3,fr_FR_01015_10181.mp3,de_DE_01015_10181.mp3
74,1,17,1,1,1.8,1,La corsia di accelerazione facilita l'ingresso dei veicoli in autostrada o su strade extraurbane principali,V,,,La voie d'accélération facilite l'accès des véhicules sur des autoroutes ou sur des routes principales hors d'agglomération,Die Beschleunigungsspur erleichtert das Auffahren der Fahrzeuge auf die Autobahn oder auf erstrangige Freilandstraßen,it_IT_01016_10182.mp3,fr_FR_01016_10182.mp3,de_DE_01016_10182.mp3
75,1,17,2,1,1.8,2,La corsia di accelerazione serve ad entrare correttamente in autostrada,V,,,La voie d'accélération sert pour accéder correctement à une autoroute,Die Beschleunigungsspur dient zum korrekten Auffahren auf die Autobahn,it_IT_01016_10183.mp3,fr_FR_01016_10183.mp3,de_DE_01016_10183.mp3
76,1,17,3,1,1.8,3,La corsia di accelerazione viene utilizzata per aumentare la velocità,V,,,La voie d'accélération s'utilise pour augmenter la vitesse,"Die Beschleunigungsspur wird verwendet, um die Geschwindigkeit zu erhöhen",it_IT_01016_10184.mp3,fr_FR_01016_10184.mp3,de_DE_01016_10184.mp3
77,1,17,4,1,1.8,4,La corsia di accelerazione serve per uscire dall’area di servizio,V,,,La voie d'accélération sert pour sortir d'une aire de repos,"Die Beschleunigungsspur dient dazu, aus einer Raststätte herauszufahren",it_IT_01016_10185.mp3,fr_FR_01016_10185.mp3,de_DE_01016_10185.mp3
78,1,17,5,1,1.8,5,La corsia di accelerazione può essere utilizzata per il sorpasso,F,,,La voie d'accélération peut être utilisée pour le dépassement,Die Beschleunigungsspur kann zum Überholen verwendet werden,it_IT_01016_10186.mp3,fr_FR_01016_10186.mp3,de_DE_01016_10186.mp3
79,1,17,6,1,1.8,6,La corsia di accelerazione serve per uscire da una piazzola di sosta,F,,,La voie d'accélération sert pout sortir d'une aire de stationnement,"Die Beschleunigungsspur dient dazu, aus einer Haltebucht herauszufahren",it_IT_01016_10187.mp3,fr_FR_01016_10187.mp3,de_DE_01016_10187.mp3
80,1,17,7,1,1.8,7,La corsia di accelerazione serve per entrare nell’area di servizio,F,,,La voie d'accélération sert pour entrer dans une aire de repos,"Die Beschleunigungsspur dient dazu, in eine Raststätte hineinzufahren",it_IT_01016_10188.mp3,fr_FR_01016_10188.mp3,de_DE_01016_10188.mp3
81,1,18,1,1,1.9,1,La corsia di decelerazione facilita l'uscita dei veicoli dall’autostrada,V,,,La voie de décélération facilite la sortie des véhicules de l'autoroute,Die Verzögerungsspur erleichtert das Ausfahren der Fahrzeuge aus der Autobahn,it_IT_01017_10189.mp3,fr_FR_01017_10189.mp3,de_DE_01017_10189.mp3
82,1,18,2,1,1.9,2,La corsia di decelerazione serve per uscire correttamente da una strada extraurbana principale,V,,,La voie de décélération sert pour sortir correctement d'une route principale hors d'agglomération,"Die Verzögerungsspur dient dazu, korrekt aus einer erstrangigen Freilandstraße auszufahren",it_IT_01017_10190.mp3,fr_FR_01017_10190.mp3,de_DE_01017_10190.mp3
83,1,18,3,1,1.9,3,La corsia di decelerazione serve per entrare nell’area di servizio,V,,,La voie de décélération sert pour entrer dans une aire de service,"Die Verzögerungsspur dient dazu, in eine Raststätte hineinzufahren",it_IT_01017_10191.mp3,fr_FR_01017_10191.mp3,de_DE_01017_10191.mp3
